"Row No","Bib No","Tag","Ind","Unmatched Heading","Match %-1","Tag-1","Near Match-1","Authority-1","Match %-2","Tag-2","Near Match-2","Authority-2"
"1","014145848","100","1 ","$a Albertine, Viv, $e author.","99.5%","100","$a Albertine, Viv, $d 1954-","n 2014046035","93.3%","400","$a Albertine, Viviane Katrina Louise","n 2014046035"
"2","014248938, 014248946","100","1 ","$a Allen, Abigail, $e author.","99.5%","100","$a Allen, Abigail A. $q (Abigail Ann)","no2008038182","99.5%","100","$a Allen, Abigail, $d 1712-1799","n  96023106 "
"3","013946596","100","1 ","$a Aram, Assad, $e author.","99.5%","400","$a Aram, Assad N.","n 2006042139","99.5%","100","$a Ārām, Asad","n 2006042139"
"4","014211345","100","1 ","$a Barton, Johan.","99.5%","100","$a Barton, Johan, $d active 15th century","nb2014025006","85.7%","100","$a Barton, Joan","n  86098259 "
"5","014244094","100","1 ","$a Beyer, Andrea, $e author.","99.5%","100","$a Beyer, Andrea, $d 1954-","n  92016269 ","92.9%","100","$a Beyer, Andreas, $d 1968-","n  95100068 "
"6","014249135","100","1 ","$a Borshchevskii, Iurii.","99.5%","100","$a Borshchevskiĭ, I︠U︡riĭ Terentʹevich","n  80099406 ","99.5%","400","$a Borshchevskiĭ, I︠U︡riĭ Efimovich, $d 1924-1984","no 98065933 "
"7","014174844","100","1 ","$a Boulter, Rob, $e author.","99.5%","400","$a Boulter, Rob. $q (Robert), $d active 1666-1683","nr 94031972 ","92.3%","100","$a Boulter, Robert, $d active 1666-1683","nr 94031972 "
"8","014239863","100","1 ","$a Böckle, Gebhard, $e author.","99.5%","100","$a Böckle, Gebhard, $d 1964-","no2010037457","94.1%","400","$a Böckle, G. $q (Gebhard), $d 1964-","no2010037457"
"9","014153305","100","1 ","$a Brik, Osip, $e author.","99.5%","100","$a Brik, Osip Maksimovich, $d 1888-1945","n  79027133 ","90.9%","400","$a Brik, O. $q (Osip Maksimovich), $d 1888-1945","n  79027133 "
"10","014202294","100","1 ","$a Buchbinder, Rudolf.","99.5%","100","$a Buchbinder, Rudolf, $d 1946-","n  81043284 ","89.5%","400","$a Buchbinder, Rudolph, $d 1946-","n  81043284 "
