"Row No","Bib No","Tag","Ind","Field Data","Invalid","Partly Valid"
"1","014220514","600","10","$a Albahari, David, $d 1948- $v Translations into English.","$v Translations into English.","","","",""
"2","014263450","600","10","$a Andrade, Carlos Drummond de, $d 1902-1987 $x Translations into English.","$x Translations into English.","","","",""
"3","002350358","600","10","$a Antonius, Marcus, $d 83 B.C.?-30 B.C. $x Drama.","","$x Drama.","","",""
"4","014261583","600","00","$a Aristotle $x Contributions in logic.","$x Contributions in logic.","","","",""
"5","014111016","600","00","$a Aristotle $x Contributions in physics.","$x Contributions in physics.","","","",""
"6","014173734","600","00","$a Aristotle $x Knowledge $x Biology.","$x Knowledge $x Biology.","","","",""
"7","014096769","600","00","$a Aristotle $x Translations into Greek, Modern.","$x Translations into Greek, Modern.","","","",""
"8","013754643","600","10","$a Atatürk, Kemal, $d 1881-1938 $x Views on radioactivity.","$x Views on radioactivity.","","","",""
"9","014159444","600","10","$a Borges, Jorge Luis, $d 1899-1986 $x Knowledge $x Literature.","$x Knowledge $x Literature.","","","",""
"10","013918901","600","10","$a Britten, Benjamin, $d 1913-1976 $x Relations with boys.","$x Relations with boys.","","","",""
"11","002350358","600","10","$a Caesar, Julius $x Drama.","","$x Drama.","","",""
"12","014263450","600","10","$a Camões, Luís de, $d 1524?-1580 $x Translations into English.","$x Translations into English.","","","",""
"13","014142755","600","00","$a Cassiodorus, $c Senator, $d approximately 487-approximately 580 $v Translations into Italian.","$v Translations into Italian.","","","",""
"14","014262678","600","10","$a Caṭṭopādhyāẏa, Bīrendra, $d 1920- $x Translations into English.","$x Translations into English.","","","",""
"15","009978613","600","10","$a Chrétien, Hedwige, $d 1859-1944 $v Manuscripts.","","$v Manuscripts.","","",""
"16","013860773","600","10","$a Churchill, Winston, $d 1874-1965 $x Knowledge $x History.","$x Knowledge","","","",""
"17","002350358","600","00","$a Cleopatra, $c Queen of Egypt, $d -30 B.C. $x Drama.","","$x Drama.","","",""
"18","013632019","600","10","$a Coltrane, John, $d 1926-1967 $v Manuscripts.","","$v Manuscripts.","","",""
"19","014227633","600","10","$a Conley, Tom $x Knowledge $x French literature $y 16th century.","$x Knowledge $x French literature","","","",""
"20","014241116","600","10","$a D'Annunzio, Gabriele, $d 1863-1938 $x Relations with publishers.","$x Relations with publishers.","","","",""
"21","014089210","600","00","$a Dante Alighieri, $d 1265-1321 $x Knowledge $x Classical literature.","$x Knowledge $x Classical literature.","","","",""
"22","014133431","600","10","$a Dawe, Bruce, $d 1930- $v Translations into German.","$v Translations into German.","","","",""
"23","014253277","600","10","$a Dorati, Antal $v Manuscripts.","","$v Manuscripts.","","",""
"24","014267439","600","10","$a Faust, Drew Gilpin $x Inauguration.","$x Inauguration.","","","",""
"25","003144130","600","00","$a Francis, $c of Assisi, Saint, $d 1182-1226 $x Drama.","","$x Drama.","","",""
"26","013523653","600","10","$a Gogolʹ, Nikolaĭ Vasilʹevich, $d 1809-1852 $v Translations into English.","$v Translations into English.","","","",""
"27","014266285","600","10","$a Herling-Grudziński, Gustaw, $d 1919-2000 $x Knowledge $x Art.","$x Knowledge","","","",""
"28","014201661","600","00","$a Hesiod $v Translations into German.","$v Translations into German.","","","",""
"29","014220506","600","10","$a Ḥaddād, Qāsim $v Translations into English.","$v Translations into English.","","","",""
"30","014220338","600","00","$a Jalāl al-Dīn Rūmī, $c Maulana, $d 1207-1273 $v Translations into English.","$v Translations into English.","","","",""
"31","014171970","600","10","$a Jodorowsky, Alejandro $v Translations into English.","$v Translations into English.","","","",""
"32","014207158","600","10","$a Joyce, James, $d 1882-1941 $x Translations into Romanian $x History and criticism.","$x Translations into Romanian","","","",""
"33","013772786","600","10","$a Just, Eva $v Photograph collections.","","$v Photograph collections.","","",""
"34","013772786","600","10","$a Just, Eva $v Poster collections.","","$v Poster collections.","","",""
"35","013772786","600","10","$a Just, Lothar $v Photograph collections.","","$v Photograph collections.","","",""
"36","013772786","600","10","$a Just, Lothar $v Poster collections.","","$v Poster collections.","","",""
"37","014206454","600","10","$a Katsushika, Hokusai, $d 1760-1849 $x Knowledge $x Architecture.","$x Knowledge $x Architecture.","","","",""
"38","014160586","600","10","$a Kepler, Johannes, $d 1571-1630 $x Knowledge $x Astronomy.","$x Knowledge $x Astronomy.","","","",""
"39","014261413","600","10","$a Khanna, Amit, $d 1951- $v Translations into English.","$v Translations into English.","","","",""
"40","014206537","600","10","$a Kislansky, Israel $x Knowledge $x Clay.","$x Knowledge $x Clay.","","","",""
"41","014136639","600","10","$a Kiš, Danilo, $d 1935-1989 $v Translations into English.","$v Translations into English.","","","",""
"42","014209351","600","10","$a Kreipe, Karl $x Kidnapping, 1944.","$x Kidnapping, 1944.","","","",""
"43","014175337","600","10","$a Krolow, Karl $x Translations into English.","$x Translations into English.","","","",""
"44","014216436","600","10","$a Lincoln, Abraham, $d 1809-1865 $x Relations with journalists.","$x Relations with journalists.","","","",""
"45","005946479","600","10","$a Mandelʹshtam, Osip, $d 1891-1938 $x Translations, Polish.","$x Translations, Polish.","","","",""
"46","014211251","600","10","$a Mann, Thomas, $d 1875-1955 $x Knowledge $x Art $v Exhibitions.","$x Knowledge","","","",""
"47","014235838","600","00","$a Martial $v Translations into English.","$v Translations into English.","","","",""
"48","000841502","600","10","$a Nabokov, Vladimir Vladimirovich, $d 1899-1977 $x Translations into English.","$x Translations into English.","","","",""
"49","014160935","600","00","$a Napoleon $b I, $c Emperor of the French, $d 1769-1821 $x Relations with marshals.","$x Relations with marshals.","","","",""
"50","014242929","600","10","$a Norwid, Cyprian, $d 1821-1883 $x Knowledge $x Art.","$x Knowledge","","","",""
"51","004221658","600","10","$a Oates, Titus, $d 1649-1705 $x Cartoons, satire, etc.","$x Cartoons, satire, etc.","","","",""
"52","013927697","600","10","$a Ó Ríordáin, Seán, $d 1916-1977 $v Translations into English.","$v Translations into English.","","","",""
"53","013802044","600","30","$a Pamphili family $x Music patronage.","$x Music patronage.","","","",""
"54","014229952","600","10","$a Perat, Katja, $d 1988- $v Translations into English.","$v Translations into English.","","","",""
"55","014206535","600","10","$a Perlstein, Sylvio $x Inerviews.","$x Inerviews.","","","",""
"56","014263450","600","10","$a Pessoa, Fernando, $d 1888-1935 $x Translations into English.","$x Translations into English.","","","",""
"57","014225949","600","10","$a Petrushevskai︠a︡, Li︠u︡dmila $v Translations into English.","$v Translations into English.","","","",""
"58","014089243","600","00","$a Plato $x Views on literature.","$x Views on literature.","","","",""
"59","014223122","600","10","$a Prado, Adélia $v Translations into English.","$v Translations into English.","","","",""
"60","014023013","600","00","$a Pseudo-Dionysius, $c the Areopagite $x Criticism, interpretation, etc.","$x Criticism, interpretation, etc.","","","",""
"61","013810029","600","00","$a Qurrat al-ʻAyn, $d 1817 or 1818-1852 $v Translations into English.","$v Translations into English.","","","",""
"62","014211165","600","10","$a Schmidt, Helmut, $d 1918 December 23- $x Relations with journalists.","$x Relations with journalists.","","","",""
"63","014220185","600","10","$a Shakespeare, William, $d 1564-1616 $v Translations into German.","$v Translations into German.","","","",""
"64","014253441","600","10","$a Shakespeare, William, $d 1564-1616 $x Knowledge $x Conduct of court proceedings.","$x Conduct of court proceedings.","","","",""
"65","014232488","600","10","$a Shakespeare, William, $d 1564-1616 $x Translations into Italian $x History and criticism.","$x Translations into Italian","","","",""
"66","014220338","600","00","$a Shams-i Tabrīzī, $d -1247 $v Translations into English.","$v Translations into English.","","","",""
"67","014247553","600","00","$a Sholem Aleichem, $d 1859-1916 $x Knowledge $x Motion pictures.","$x Knowledge $x Motion pictures.","","","",""
"68","014249517","600","10","$a Śikadāra, Ābadula Hāi $v Translations into English.","$v Translations into English.","","","",""
"69","014138218","600","10","$a Šalamun, Tomaž $v Translations into English.","$v Translations into English.","","","",""
"70","014044296","600","10","$a Tolstoy, Leo, $c graf, $d 1828-1910 $x Knowledge $x Economics.","$x Knowledge $x Economics.","","","",""
"71","014253243","600","10","$a Ugrešić, Dubravka $v Translations into English.","$v Translations into English.","","","",""
"72","014262856","600","10","$a Waterhouse, Peter, $d 1956- $x Translations into English.","$x Translations into English.","","","",""
"73","004224219","600","00","$a William $b III, $c King of England, $d 1650-1702 $x Portraits, caricatures, etc.","$x Portraits, caricatures, etc.","","","",""
"74","014249817","600","10","$a Zola, Émile, $d 1840-1902 $x Knowledge $x Politics and government.","$x Knowledge $x Politics and government.","","","",""
"75","014215750","610","10","$a Baden-Württemberg (Germany). $b Landtag $x Elections, 2011.","$x Elections, 2011.","","","",""
"76","014242956","610","20","$a Bollandists $v Correspondence.","$v Correspondence.","","","",""
"77","014173813","610","20","$a Catholic Church $v Catechisms $x Italian $v Early works to 1800.","$x Italian","","","",""
"78","014242956","610","20","$a Catholic Church $x Relations $x Eastern churches $x History $v Sources.","$x Eastern churches","","","",""
"79","013031182","610","20","$a Catholic Church $x Relations $x Islam.","$x Islam.","","","",""
"80","014227551","610","20","$a Dar es Salaam Stock Exchange $x Handbooks, manuals, etc.","","$x Handbooks, manuals, etc.","","",""
"81","014052780","610","10","$a Denmark. $b Hæren $x Officers $v Biography.","$x Officers","","","",""
"82","014159407","610","20","$a European Union $x Spain.","$x Spain.","","","",""
"83","014052780","610","10","$a France. $b Armée $x Officers $v Biography.","$x Officers","","","",""
"84","014201697","610","10","$a Germany. $b Bundestag $x Elections, 2013.","$x Elections, 2013.","","","",""
"85","014211214","610","10","$a Germany. $b Bundestag $x Elections, 2013.","$x Elections, 2013.","","","",""
"86","014233193","610","10","$a Great Britain. $b Army $x Infantry $x History.","$x Infantry","","","",""
"87","014228779","610","10","$a Great Britain. $b Army $x Medical personnel $v Biography.","$x Medical personnel","","","",""
"88","014238541","610","10","$a Great Britain. $b Army $x Medical personnel $v Biography.","$x Medical personnel","","","",""
"89","014223136","610","10","$a Great Britain. $b Army $x Medical personnel $v Diaries.","$x Medical personnel $v Diaries.","","","",""
"90","014233193","610","10","$a Great Britain. $b Army $x Regimental histories.","$x Regimental histories.","","","",""
"91","014223136","610","10","$a Great Britain. $b Army. $b Royal Army Medical Corps $v Diaries.","$v Diaries.","","","",""
"92","012264216","610","20","$a Harvard College (1636-1780) $x Riot, 1766.","$x Riot, 1766.","","","",""
"93","005483971","610","20","$a Harvard University $x Commencements.","$x Commencements.","","","",""
"94","006359645","610","20","$a Harvard University $x Commencements.","$x Commencements.","","","",""
"95","000533947","610","20","$a Harvard University $x Description and travel $x History.","$x Description and travel","","","",""
"96","006137413","610","20","$a Harvard University $x Students $x Anthropometry.","$x Anthropometry.","","","",""
"97","014166394","610","20","$a Herzogin Anna Amalia Bibliothek $x Fire, 2004 $v Exhibitions.","$x Fire, 2004","","","",""
"98","014243000","610","10","$a Israel. $b Keneset $x Elections 1999.","$x Elections 1999.","","","",""
"99","014247543","610","10","$a Israel. $b Tseva haganah le-Yiśraʼel $x Campaigns.","$x Campaigns.","","","",""
"100","014236916","610","10","$a Italy. $b Regio Esercito. $b Fanteria $v Registers of dead.","$v Registers of dead.","","","",""
"101","014215750","610","10","$a Mecklenburg-Vorpommern (Germany). $b Landtag $x Elections, 2011.","$x Elections, 2011.","","","",""
"102","014220163","610","20","$a Oberliga West (Soccer league) $v Biography $v Dictionaries $x German.","$x German.","","","",""
"103","014145389","610","20","$a Orthodox Eastern Church $x Relations $x Oriental Orthodox Churches.","$x Oriental Orthodox Churches.","","","",""
"104","014010202","610","20","$a Orthodox Eastern Church $x Theology.","$x Theology.","","","",""
"105","014234496","610","10","$a Prussia (Kingdom). $b Armee $x Officers $v Biography.","$x Officers","","","",""
"106","014215750","610","10","$a Salzburg (Austria : Land). $b Landtag $x Elections, 2013.","$x Elections, 2013.","","","",""
"107","013404121","610","20","$a Shakers $x Medical care.","$x Medical care.","","","",""
"108","000111014","610","10","$a South Carolina. $b General Assembly. $b House of Representatives $x Registers.","","$x Registers.","","",""
"109","013924738","610","10","$a Turkey. $b Ordu $x Military life.","$x Military life.","","","",""
"110","013924738","610","10","$a Turkey. $b Ordu $x Organization.","$x Organization.","","","",""
"111","014249486","610","10","$a United States. $b Air Force $x Non-commissioned officers $x Promotions.","$x Promotions.","","","",""
"112","014247131","610","10","$a United States. $b Army $x Officers $x Training of.","$x Training of.","","","",""
"113","014140027","610","10","$a United States. $b Army $x Women $v Biography.","$x Women","","","",""
