"Row No","Bib No","Tag","Ind","Field Data"
"1","001020463","440","0","$a ACS monograph ; $v 175-176, $x 0065-7719","","",""
"2","001021130","440","0","$a ACS symposium series, $x 0097-6156 ; $v 171","","",""
"3","011974228","440","0","$a Islamic archaeology and culture, $x 1881-977X ; $v v. 1","","",""
"4","006834724","440","0","$a Islamkundliche Untersuchungen, $x 0939-1940 ; $v Bd. 196","","",""
"5","000605941","440","0","$a Memoirs of the American Mathematical Society, $x 0065-9266 ; $v no. 359","","",""
"6","000605958","440","0","$a Memoirs of the American Mathematical Society, $x 0065-9266 ; $v no. 362","","",""
"7","001757766","440","0","$a Memoirs of the American Mathematical Society, $x 0065-9266 ; $v no. 405","","",""
"8","011537777","440","0","$a Musica Britannica, $x 0580-2954 ; $v 86","","",""
"9","010276611","440","0","$a New directions for community colleges, $x 0194-3081 ; $v no. 137","","",""
"10","010589606","440","0","$a New directions for community colleges, $x 0194-3081 ; $v no. 138","","",""
"11","010224155","440","0","$a New directions for teaching and learning, $x 0271-0633 ; $v no. 108","","",""
"12","007438857","440","0","$a Papers of the Japanese Studies Centre, $x 0725-0177 ; $v 6","","",""
"13","014265928","440","0","$a Quellen und Studien (Niemiecki Instytut Historyczny w Warszawie), $x 0947-4226 ; $v Bd. 29","","",""
"14","000412213","440","0","$a Reihe Politik-Informationen, $x 0177-3291","","",""
"15","014265933","440","0","$a Studien und Texte (Arye Maimon-Institut für Geschichte der Juden), $x 2190-6947 ; $v Bd. 9","","",""
"16","014204015","490","1","$a Abhandlungen der Akademie der Wissenschaften zu Göttingen, $x 0930-4304 ; $v Neue Folge, Band 32","","",""
"17","014218407","490","1","$a Abhandlungen der Akademie der Wissenschaften zu Göttingen, $x 0930-4304 ; $v Neue Folge, Band 33","","",""
"18","014220848","490","1","$a Advances in experimental medicine and biology, $x 0065-2598 ; $v 799","","",""
"19","014148691","490","1","$a Advances in experimental medicine and biology, $x 0065-2598 ; $v 814","","",""
"20","014148690","490","1","$a Advances in experimental medicine and biology, $x 0065-2598 ; $v volume 819","","",""
"21","014203973","490","1","$a Analecta romanica, $x 0569-986X ; $v Band 82","","",""
"22","013603524","490","1","$a Arkistolaitoksen toimituksia, $x 1795-9683 ; $v 13","","",""
"23","014266630","490","1","$a Badische Ortssippenbücher, $x 0721-2003 ; $v Bd. 165","","",""
"24","014211221","490","1","$a Bamberger Studien zu Literatur, Kultur und Medien, $x 2192-7901 ; $v Band 10","","",""
"25","014201772","490","1","$a Basler Studien zur deutschen Sprache und Literatur, $x 0067-4508 ; $v Band 93","","",""
"26","014172610","490","1","$a Bedrohte Ordnungen, $x 2197-5477 ; $v 2","","",""
"27","014244095","490","1","$a Beihefte zur Zeitschrift für die alttestamentliche Wissenschaft, $x 0934-2575 ; $v volume 464","","",""
"28","014225087","490","1","$a Beiträge des Deutschen Städtetages zur Stadtpolitik, $x 2190-9660 ; $v Band 101","","",""
"29","014215812","490","1","$a Beiträge zur Alexander-von-Humboldt-Forschung, $x 0232-1556 ; $v 31","","",""
"30","014218451","490","1","$a Beiträge zur Erforschung der antiken Moabitis (Ard el-Kerak), $x 1618-405X ; $v Band 7","","",""
"31","014201778","490","1","$a Beiträge zur Individualpsychologie, $x 0722-8902 ; $v Band 40","","",""
"32","014211270","490","1","$a Beiträge zur neueren Literaturgeschichte, $x 0179-4027 ; $v Band 333","","",""
"33","014229941","490","1","$a Beiträge zur neueren Literaturgeschichte, $x 0179-4027 ; $v Band 336","","",""
"34","014211266","490","1","$a Beiträge zur politischen Wissenschaft, $x 0582-0421 ; $v Band 181","","",""
"35","014243854","490","1","$a Biblical interpretation series, $x 0928-0731 ; $v volume132","","",""
"36","014220189","490","1","$a Bibliothèque historique vaudoise, $x 0067-8406 ; $v no. 140","","",""
"37","014207177","490","1","$a Bildung in Umbruchsgesellschaften, $x 1619-9561 ; $v Band 11","","",""
"38","014128723","490","1","$a Brill reference library of Judaism, $x 1571-5000 ; $v volume 40","","",""
"39","014244051","490","1","$a Brill's series in church history, $x 1572-4107 ; $v VOLUME 68","","",""
"40","014244052","490","1","$a Brill's series in church history, $x 1572-4107 ; $v volume 69","","",""
"41","014209061","490","1","$a Brill's studies in the indigenous languages of the Americas, $x 1876-5580 ; $v volume 7","","",""
"42","014247801","490","1","$a Collezione di studi fenici, $x 1591-8882 ; $v 45","","",""
"43","014207148","490","1","$a Deutsch als Fremd- und Zweitsprache, $x 2194-7090 ; $v Band 3","","",""
"44","014253558","490","1","$a DHHS publication ; $v (PHS) 2014-1367","","",""
"45","014253560","490","1","$a DHHS publication ; $v no. (PHS) 2015-1386","","",""
"46","014266283","490","1","$a DHHS publication ; $v no. 2012-1420","","",""
"47","014266534","490","1","$a DHHS publication ; $v no. 2015-1333","","",""
"48","014218452","490","1","$a Dresdner Beiträge zur Hethitologie, $x 1619-0874 ; $v Band 45","","",""
"49","014215747","490","1","$a DSS-Arbeitspapiere, $x 1436-6010 ; $v Heft 112","","",""
"50","014201690","490","1","$a Edition lendemains, $x 1861-3934 ; $v 33","","",""
"51","014172944","490","1","$a Eichstätter Studien, $x 0170-9402 ; $v neue Folge, Band 71","","",""
"52","014172945","490","1","$a Eichstätter Studien, $x 0170-9402 ; $v Neue Folge, Band 72","","",""
"53","014266702","490","1","$a Ergänzungsbände zum Reallexikon der germanischen Altertumskunde, $x 1866-7678 ; $v Band 90","","",""
